BioGro No;Licensee Name;Address;Input Name;Sub Type;Category;Expiry Date
4474;Bell-Booth Ltd;"Tiki Place
15
Palmerston North 4412";Intense Organic 240;Livestock Feed / Supplement;Supplement;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";Intense Organic 240 (SKU# 104622, 1046224, 1046221);Livestock Feed / Supplement;Supplement;31.07.2023
4474;Bell-Booth Ltd;"Tiki Place
15
Palmerston North 4412";Intense Organic Apple Cider Vinegar;Livestock Feed / Supplement;Supplement;31.07.2023
4474;Bell-Booth Ltd;"Tiki Place
15
Palmerston North 4412";Intense Organic Cobalt;Livestock Feed / Supplement;Supplement;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";Intense Organic Cobalt (SKU# 1046234, 1046226);Livestock Feed / Supplement;Supplement;31.07.2023
4474;Bell-Booth Ltd;"Tiki Place
15
Palmerston North 4412";Intense Organic Copper;Livestock Feed / Supplement;Supplement;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";Intense Organic Copper (SKU# 1046243);Livestock Feed / Supplement;Supplement;31.07.2023
4474;Bell-Booth Ltd;"Tiki Place
15
Palmerston North 4412";Intense Organic Iodine;Livestock Feed / Supplement;Supplement;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";Intense Organic Iodine (SKU# 1035725, 1046245);Livestock Feed / Supplement;Supplement;31.07.2023
4474;Bell-Booth Ltd;"Tiki Place
15
Palmerston North 4412";Intense Organic Magnesium Chloride;Livestock Feed / Supplement;Supplement;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";Intense Organic Selenium (SKU# 1035723, 1046448);Livestock Feed / Supplement;Supplement;31.07.2023
4474;Bell-Booth Ltd;"Tiki Place
15
Palmerston North 4412";Intense Organic Selenium 5;Livestock Feed / Supplement;Supplement;31.07.2023
4474;Bell-Booth Ltd;"Tiki Place
15
Palmerston North 4412";Intense Organic Trifecta;Livestock Feed / Supplement;Supplement;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";Intense Organic Trifecta (SKU# 1035825, 1041324, 1046251);Livestock Feed / Supplement;Supplement;31.07.2023
4474;Bell-Booth Ltd;"Tiki Place
15
Palmerston North 4412";Intense Organic Zinc;Livestock Feed / Supplement;Supplement;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";Intense Organic Zinc (SKU# 1035724, 1044954, 1046245);Livestock Feed / Supplement;Supplement;31.07.2023
6213;Agvance Nutrition Ltd;"Alexandra Street
1587
Te Awamutu 3800";Iodocow;Livestock Feed / Supplement;;31.07.2023
6213;Agvance Nutrition Ltd;"Alexandra Street
1587
Te Awamutu 3800";Iodocow;Livestock Feed / Supplement;;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Iodum 30c;Livestock Treatment;Homeopathic Preparation;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Ipecac 30c;Livestock Treatment;Homeopathic Preparation;31.07.2023
