Input,BioGro #,Licensee,Type,Category,Sub Type
Ag Lime,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ag Lime (Agricultural Lime),4928.0,Graymont (NZ) Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ag Lime (Agricultural Lime),4928.0,Graymont (NZ) Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ag Lime (Agricultural Lime),4928.0,Graymont (NZ) Ltd,Livestock Feed / Supplement,Supplement,Mineral
Ag Lime (SKU# 1015198),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ag Salt,4841.0,Osflo Fertiliser Ltd,Soil & Plant Nutrition,Salt,
Ag Salt,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Salt,
Ag Salt,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Salt,
Ag Salt,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Salt,
Ag Salt,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Salt,
AgLime,6045.0,Avoca Lime Co,Soil & Plant Nutrition,,
AgLime,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
AgLime 90,4871.0,AB Lime Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
AgLime Fertco (SKU# 1019423),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Agnus castus 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Agri Clear DS,5774.0,Liquid Fertiliser Pty,Facility Management,Cleaning,Other
AgriBio AF,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Microorganisms,
AgriBio AF,5139.0,Agrifert (NZ) Limited,Facility Management,Cleaning,Other
AgriBio BA,5139.0,Agrifert (NZ) Limited,Livestock Feed / Supplement,Supplement,Mineral
AgriBio BA,5139.0,Agrifert (NZ) Limited,Facility Management,Cleaning,Other
AgriBio BS,5139.0,Agrifert (NZ) Limited,Livestock Feed / Supplement,Supplement,Mineral
AgriBio BT,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Microorganisms,
AgriBio LAB,5139.0,Agrifert (NZ) Limited,Livestock Feed / Supplement,Supplement,Mineral
AgriBio LY,5139.0,Agrifert (NZ) Limited,Livestock Feed / Supplement,,
AgriBio Yeast,5139.0,Agrifert (NZ) Limited,Livestock Feed / Supplement,,
Agribuster,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Agri-N,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Agrisea Animal +,4912.0,AgriSea New Zealand Seaweed Ltd,Livestock Treatment,Herbal remedies,
Agrisea Animal Nutrition,4912.0,AgriSea New Zealand Seaweed Ltd,Livestock Treatment,Herbal remedies,
Agrisea Bee Nutrition,4912.0,AgriSea New Zealand Seaweed Ltd,Apiary Management,,
Agrisea Combo +,4912.0,AgriSea New Zealand Seaweed Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Agrisea Foliar Nutrition,4912.0,AgriSea New Zealand Seaweed Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Agrisea Ocean Nutrition,4912.0,AgriSea New Zealand Seaweed Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Agrisea Pasture Nutrition,4912.0,AgriSea New Zealand Seaweed Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Agrisea Seaweed Pellets,4912.0,AgriSea New Zealand Seaweed Ltd,Livestock Treatment,Herbal remedies,
Agrisea Soil +,4912.0,AgriSea New Zealand Seaweed Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Agrisea Soil Nutrition,4912.0,AgriSea New Zealand Seaweed Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Agrisea Turf Nutrition,4912.0,AgriSea New Zealand Seaweed Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Agrisumo,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Agri-Tri,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Microorganisms,
AgriTwitch / Artemis Opti,5774.0,Liquid Fertiliser Pty,Crop Management,Adjuvant,
Agrizest,5943.0,Zest Biotech Ltd,Crop Management,Elicitor,
Agromate,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Humate,
"Ailanthus 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Aktivit,2933.0,PGG Wrightson (Fruitfed Supplies),Clarification / Fining,Mineral,Bentonite
Alfalfa (Code - 4000),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Alfalfa / Minerals Chelidonium,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Alfalfa 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Alfalfa Minerals Combo,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Alga 600,2925.0,Agrinova NZ Ltd TA Gro-Chem,Soil & Plant Nutrition,Seaweed Fertiliser,
Algerian Rock Phosphate,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,,
Algerian Rock Phosphate,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,,
Algonia K,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Seaweed Fertiliser,
Algonia K,2594.0,De Sangosse New Zealand Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Algonia K,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Aligal 1 (Nitrogen),5613.0,Air Liquide NZ Ltd,Sparging / Creating inert environment,,
Aligal 2 (Carbon Dioxide),5613.0,Air Liquide NZ Ltd,Sparging / Creating inert environment,,
Aligal 3 (Oxygen),5613.0,Air Liquide NZ Ltd,Sparging / Creating inert environment,,
Aligal 6 (Argon),5613.0,Air Liquide NZ Ltd,Sparging / Creating inert environment,,
All Clean,6156.0,Clean Planet Franchise Ltd,Facility Management,Cleaning,
Allergy+ 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Alligator / Alcedo,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Microorganisms,Biostimulant
Alligator weed 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Allium cepa 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Aloe-Tech,5583.0,Biologix,Soil & Plant Nutrition,Plant Extract / Lysate,
Alpha 1 Step,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Alumina 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Amino Feed N,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Plant Extract / Lysate,
Amino-Max,5583.0,Biologix,Soil & Plant Nutrition,Plant Extract / Lysate,
Amylis,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Microorganisms,Other
Amylis,2594.0,De Sangosse New Zealand Ltd,Soil & Plant Nutrition,Microorganisms,Other
Anchor Alchemy I,5605.0,Winequip Products Ltd,Inoculant,Yeast,
Anchor Alchemy II,5605.0,Winequip Products Ltd,Yeast,Yeast,
Anchor Alchemy III,5605.0,Winequip Products Ltd,Yeast,Yeast,
Anchor Alchemy IV,5605.0,Winequip Products Ltd,Yeast,Yeast,
Anchor Duet Arom,5605.0,Winequip Products Ltd,Inoculant,Bacteria (MLF),
Anchor Duet Mature,5605.0,Winequip Products Ltd,Inoculant,Bacteria (MLF),
Anchor Duet Soft,5605.0,Winequip Products Ltd,Inoculant,Bacteria (MLF),
Anchor Exotics Mosaic,5605.0,Winequip Products Ltd,Yeast,Yeast,
Anchor Exotics Novello,5605.0,Winequip Products Ltd,Yeast,Yeast,
Anchor NT112,5605.0,Winequip Products Ltd,Yeast,Yeast,
Anchor NT116,5605.0,Winequip Products Ltd,Yeast,Yeast,
Anchor NT202,5605.0,Winequip Products Ltd,Yeast,Yeast,
Anchor NT50,5605.0,Winequip Products Ltd,Yeast,Yeast,
Anchor VIN13,5605.0,Winequip Products Ltd,Yeast,Yeast,
Anchor VIN2000,5605.0,Winequip Products Ltd,Yeast,Yeast,
Anchor VIN7,5605.0,Winequip Products Ltd,Yeast,Yeast,
Anchor WE 372,5605.0,Winequip Products Ltd,Yeast,Yeast,
Animal Boost,4833.0,Dynamic Compost Tea Ltd,Livestock Feed / Supplement,Supplement,Mineral
"Ant crud 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Ant tart 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Anthracinum 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Anthracinum C 1000,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Anthracinum C 200,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Anti-Oxidant Blend,5332.0,True Health Ltd,Livestock Treatment,Herbal remedies,
Apis 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Apocynum 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Apple Cider Vinegar,412.0,Coral Tree Organic Products Ltd,Livestock Feed / Supplement,Supplement,
Aquabor MSR,4038.0,BioAg Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Aquaticus Organic Garden Booster,5414.0,New Leaf Horticulture Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Aquaticus Organic Soil & Plant Conditioner,5414.0,New Leaf Horticulture Ltd,Soil & Plant Nutrition,Shellfish Fertiliser,
"Arnica 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Arnica Montana C 200,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Arnica/Bellis 200c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Arnica/Hypericum 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Ars alb 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
"Artificial Kiwifruit Pollination: Organic ""Polli"" Roll",5290.0,Polli Ltd,Pollination,Artifical Pollen,
Asafoetida 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Ascorbic Acid,5606.0,Interchem Agencies Ltd,Preservative / Antioxidant,,
Ascorbic Acid,6029.0,Redox Limited,Preservative / Antioxidant,,
Ascorbic Acid,2933.0,PGG Wrightson (Fruitfed Supplies),Preservative / Antioxidant,Other,Ascorbic acid
Ascorbic Acid,5593.0,Pacific Rim Oenology Services Ltd,Preservative / Antioxidant,,
Aureo Gold,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Adjuvant,
Aureo Gold,4429.0,UPL New Zealand Ltd,Crop Management,Pesticide,
Aureo Gold,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Aureo Gold (SKU# 1033775),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
AusMate,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Humate,
AusMate,4769.0,New Zealand Humates Ltd,Soil & Plant Nutrition,Humate,
Ausperl Perlflo Filter Aid,2933.0,PGG Wrightson (Fruitfed Supplies),Filtration,Mineral,Perlite
Aussan-L42,5351.0,Environmental Services PTY Ltd,Facility Management,Cleaning,Other
Aussan-L44,5351.0,Environmental Services PTY Ltd,Facility Management,Cleaning,Other
Aussan-L44,2933.0,PGG Wrightson (Fruitfed Supplies),Facility Management,Cleaning,Plant extract based cleaners and sanitiser
Aussan-SC,5351.0,Environmental Services PTY Ltd,Facility Management,Cleaning,Other
AWRI YV Select MBR,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
"Azwood Energy Wood Pellet - (Fire Time, On Fire, Resourcefuel)",5991.0,Azwood Ltd,Soil & Plant Nutrition,Plant Derived Fertiliser,
Bacillinum 200c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Bacstar,4429.0,UPL New Zealand Ltd,Crop Management,Pesticide,
Bacstar,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Pesticide,
Bactur,4547.0,Grosafe Chemicals Ltd,Crop Management,Pesticide,
Bagging of compost and potting mix,364.0,Intelligro,Other - Service,,
Balanced Soil 12c,5005.0,Homeopathic Farm Services Ltd,Crop Management,Pest control,
Ballance Dolomite (SKU# 1013676),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,,
Ballance Gypsum,4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,,
Ballance High P Phosphate,4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,,
Ballance Nutrimax Organic Boron 10%,4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,,
Ballance Powdered Guano,4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,,
Ballance Pure RPR,4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,,
Ballance Sulphate of potash,4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,,
Ballance Sulphurgrain Pure,4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,,
"Baptisia 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Bark Mulch,3589.0,Daltons Ltd,Soil & Plant Nutrition,Mulch/Bark,
Bark Mulch 25 mm and 50mm,4575.0,Composting New Zealand Ltd,Soil & Plant Nutrition,Mulch/Bark,
Basalt Rock Powder,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Basil Red Opal (Code - 3020),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Basil Sweet Genovese (Code - 3025),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Basil Thai (Code - 3030,5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Bayanus,5593.0,Pacific Rim Oenology Services Ltd,Yeast,,
BBU 200c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
BCF 7.14,5568.0,Biolchim New Zealand Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
BCF 7.5.14,5568.0,Biolchim New Zealand Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
BCF GR,5568.0,Biolchim New Zealand Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Bean Cobra Runner (Code - 3050),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Bean Faraday Dwarf (Code – 3035),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Bean Vitalis Runner (Code - 3058),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Bear,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Microorganisms,Biostimulant
Beet Bright Yellow (Code - 3065),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Beet Erbette (Code - 3066),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Beet Ruby Red (Code - 3068),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Beet-OH Tincture,5332.0,True Health Ltd,Livestock Treatment,Herbal remedies,
Beetroot Detroit Dark Red (Code - 3080),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
"Belladonna 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Belladonna C 200,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
"Bellis per 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Bentonite,4993.0,Livestock Supplies NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Bentonite Electra,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Bentonite Optibent 25Kg,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Berberis 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Bi-Activ (BioActiv),5587.0,Laffort New Zealand Ltd,Yeast Nutrient,,
Bio Inoculant Granules,3589.0,Daltons Ltd,Crop Management,Pesticide,
Bio Inoculant Powder,3589.0,Daltons Ltd,Crop Management,Pesticide,
Bio Marinus Biological,5252.0,United Fisheries Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Bio Marinus Fish Silage,5252.0,United Fisheries Ltd,Livestock Feed / Supplement,Feed,Silage
Bio Marinus Hydrolysed Fish,5252.0,United Fisheries Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Bio Marinus Hydrolysed Fish Fertiliser,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Fish Fertiliser,
"Bio Marinus Hydrolysed Fish Fertiliser (JAS Approved) (SKU# 1036059, 1012214, 1041302)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Bio Marinus JAS Approved Biological,5252.0,United Fisheries Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Bio Marinus JAS approved Hydrolysed Fish,5252.0,United Fisheries Ltd,Soil & Plant Nutrition,Fish Fertiliser,
"Bio Marinus Organic Liquid Fish Fertiliser (JAS Approved) (SKU# 1012207, 1012208, 1012209, 1012210, 1012211)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Bio Marinus Organic Liquid Fish Fertilizer,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Bio Marinus Organic Liquid Fish Fertilizer,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Fish Fertiliser,
Bio Nurture compost,3589.0,Daltons Ltd,Soil & Plant Nutrition,Compost,
Bio Stim Liquid Plant Food,5946.0,Orgenz 2018 Ltd,Soil & Plant Nutrition,Fish Fertiliser,
BioActive Fish,5113.0,Soil Health Ltd,Soil & Plant Nutrition,Fish Fertiliser,
BioActive Kina,5113.0,Soil Health Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
BioActive Oyster Shell,5113.0,Soil Health Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
BioAg Digest-it,4038.0,BioAg Ltd,Crop Management,Pesticide,
BioAg Flower & Fruit Organic / BioAg Fruit & Balance Organic,4038.0,BioAg Ltd,Crop Management,Pesticide,
BioAg Roots & Shoots Organic,4038.0,BioAg Ltd,Crop Management,Pesticide,
BioAg Soil & Seed Organic,4038.0,BioAg Ltd,Crop Management,Pesticide,
Biobit DF,2925.0,Agrinova NZ Ltd TA Gro-Chem,Crop Management,Pesticide,
BioBit DF,5578.0,Sumitomo Chemical Australia PTY Ltd,Crop Management,Insecticide,
Biobit DF,4432.0,Horticentre Ltd,Crop Management,Pesticide,
Biobit DF (SKU# 1003897),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
BioBor Ulexite,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
BioElite,5774.0,Liquid Fertiliser Pty,Soil & Plant Nutrition,Microorganisms,Biostimulant
Bio-Enhance,5136.0,Remediation NZ Ltd TA Revital Fertilisers,Soil & Plant Nutrition,Microorganisms,
Biofert Plus TE,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
BioKsupa,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
BioKSupa,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
BioLime,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biologix Sudo-Shield,5583.0,Biologix,Soil & Plant Nutrition,Microorganisms,Other
BIOM Amino Acid,5669.0,RJ International Ltd TA Biomax NZ,Soil & Plant Nutrition,Mineral Fertiliser,
BIOM Organic Fertiliser,5669.0,RJ International Ltd TA Biomax NZ,Soil & Plant Nutrition,Mineral Fertiliser,
BioMag,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
"Biomin Booster V (SKU# 1011233, 1011234)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,,
Biomin N Powder,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Plant Extract / Lysate,
Biomin® Booster V,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Booster V,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Boron,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Boron,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Boron,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Mineral Fertiliser,
"Biomin® Boron (SKU# 1011227, 1011228)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Calcium,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Calcium,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Calcium,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
"Biomin® Calcium (SKU# 1007820, 1007821)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Biomin® Copper,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Mineral Fertiliser,
